"repo","category","purpose","stars","last_activity","language","license","maturity","build_status","test_status","data_model_quality","browser_ready","server_ready","DXF","DWG","SVG","PDF","3D","schematic","topology","panel_layout","routing","component_library","AI","integration_effort","commercial_license_risk","what_to_reuse","what_to_learn","why_not_use","tier","notes"
"Taam4142/cabinet-layout-generator","panel-layout","DIN rail/cabinet layout generator experiment","0","2026-06-06","Python","MIT","production-adjacent","source/docs inspected","not run in this docs pass","domain model present; verify scope","no/adapter","yes/adapter","unknown","unknown","unknown","unknown","unknown","unknown","unknown","yes","unknown","yes","unknown","M","low","DIN rail/cabinet layout generator experiment","Domain-aligned prototype; parent smoke test build/tests pass.","Still requires domain adapter and deterministic validation","A","Checked 2026-09-15 via GitHub page/commits.atom; Domain-aligned prototype; parent smoke test build/tests pass."
"LibreCAD/LibreCAD","2d-cad","Desktop 2D CAD application","6.4k","2026-09-15","C++/Qt","GPL-2.0","mature/reference","metadata/docs inspected","not run in this docs pass","generic geometry/graph model","no/adapter","yes/adapter","yes","unknown","yes","yes","unknown","unknown","unknown","unknown","unknown","unknown","unknown","M-H","review / copyleft or provenance","Desktop 2D CAD application","Useful UX and DXF behavior; not a domain model.","Scope, license, or maturity mismatch for core","B","Checked 2026-09-15 via GitHub page/commits.atom; Useful UX and DXF behavior; not a domain model."
"LibreCAD/libdxfrw","2d-cad","DXF/DWG reader-writer library","293","2025-09-25","C++","GPL-2.0","mature/reference","metadata/docs inspected","not run in this docs pass","generic geometry/graph model","no/adapter","yes/adapter","yes","yes","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","M-H","review / copyleft or provenance","DXF/DWG reader-writer library","Strong parser reference but copyleft linkage risk.","Scope, license, or maturity mismatch for core","B","Checked 2026-09-15 via GitHub page/commits.atom; Strong parser reference but copyleft linkage risk."
"mozman/ezdxf","2d-cad","Python DXF parser/writer/auditor","1.4k","2026-08-26","Python","MIT","production-adjacent","source/docs inspected","not run in this docs pass","generic geometry/graph model","no/adapter","yes/adapter","yes","unknown","yes","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","M","low","Python DXF parser/writer/auditor","Best server-side DXF audit/export candidate; no editor.","Still requires domain adapter and deterministic validation","A","Checked 2026-09-15 via GitHub page/commits.atom; Best server-side DXF audit/export candidate; no editor."
"arbaev/dxf-kit","2d-cad","TypeScript DXF parser/writer toolkit","44","2026-06-26","TypeScript","MIT","mature/reference","metadata/docs inspected","not run in this docs pass","generic geometry/graph model","yes","yes","yes","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","M-H","low","TypeScript DXF parser/writer toolkit","Small API; validate coverage against required entities.","Scope, license, or maturity mismatch for core","B","Checked 2026-09-15 via GitHub page/commits.atom; Small API; validate coverage against required entities."
"wiscaksono/cadview","2d-cad","Web CAD/DXF viewer","10","2026-04-07","JavaScript","MIT","research/niche","metadata/docs inspected","not run in this docs pass","generic geometry/graph model","yes","yes/adapter","yes","unknown","yes","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","H","low","Web CAD/DXF viewer","Low adoption; useful viewer experiment only.","Scope, license, or maturity mismatch for core","C","Checked 2026-09-15 via GitHub page/commits.atom; Low adoption; useful viewer experiment only."
"gdsestimating/dxf-parser","2d-cad","JavaScript DXF parser","556","2023-03-15","JavaScript","MIT","mature/reference","source/docs inspected","not run in this docs pass","generic geometry/graph model","yes","yes/adapter","yes","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","M-H","low","JavaScript DXF parser","Read-only parser; parent observed lockfile CI mismatch.","Scope, license, or maturity mismatch for core","B","Checked 2026-09-15 via GitHub page/commits.atom; Read-only parser; parent observed lockfile CI mismatch."
"dxfjs/writer","2d-cad","JavaScript DXF writer","125","2026-02-07","TypeScript","MIT","mature/reference","source/docs inspected","not run in this docs pass","generic geometry/graph model","yes","yes","yes","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","M-H","low","JavaScript DXF writer","Focused writer; parent observed peer dependency conflict.","Scope, license, or maturity mismatch for core","B","Checked 2026-09-15 via GitHub page/commits.atom; Focused writer; parent observed peer dependency conflict."
"microsoft/maker.js","2d-cad","Parametric 2D geometry and SVG/DXF export","2.0k","2026-08-25","TypeScript","Apache-2.0","production-adjacent","source/docs inspected","not run in this docs pass","generic geometry/graph model","yes","yes","yes","unknown","yes","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","M","low","Parametric 2D geometry and SVG/DXF export","Good geometry primitives and model composition; parent build PASS.","Still requires domain adapter and deterministic validation","A","Checked 2026-09-15 via GitHub page/commits.atom; Good geometry primitives and model composition; parent build PASS."
"FreeCAD/FreeCAD","3d-cad","Parametric desktop CAD kernel/UI","33.5k","2026-09-15","C++/Python","LGPL-2.1","mature/reference","source/docs inspected","not run in this docs pass","domain model present; verify scope","no/adapter","yes/adapter","yes","unknown","yes","yes","yes","unknown","unknown","unknown","unknown","unknown","unknown","M-H","review / copyleft or provenance","Parametric desktop CAD kernel/UI","Powerful reference/server scripting; GUI/kernel deployment complexity.","Scope, license, or maturity mismatch for core","B","Checked 2026-09-15 via GitHub page/commits.atom; Powerful reference/server scripting; GUI/kernel deployment complexity."
"FreeCAD/FreeCAD-documentation","3d-cad","FreeCAD technical documentation","104","2025-01-15","Markdown","CC0-1.0","research/niche","metadata/docs inspected","not run in this docs pass","domain model present; verify scope","no/adapter","yes","unknown","unknown","unknown","unknown","yes","unknown","unknown","unknown","unknown","unknown","unknown","H","low","FreeCAD technical documentation","Documentation/reference only.","Scope, license, or maturity mismatch for core","C","Checked 2026-09-15 via GitHub page/commits.atom; Documentation/reference only."
"CadQuery/cadquery","3d-cad","Python parametric CAD DSL","5.8k","2026-09-13","Python","Apache-2.0","mature/reference","source/docs inspected","not run in this docs pass","domain model present; verify scope","no/adapter","yes/adapter","yes","unknown","yes","unknown","yes","unknown","unknown","unknown","unknown","unknown","unknown","M-H","low","Python parametric CAD DSL","Strong scripted 3D path; not browser-native.","Scope, license, or maturity mismatch for core","B","Checked 2026-09-15 via GitHub page/commits.atom; Strong scripted 3D path; not browser-native."
"openscad/openscad","3d-cad","Scripted solid modeling language/app","10.2k","2026-09-12","C++","GPL-2.0","research/niche","metadata/docs inspected","not run in this docs pass","domain model present; verify scope","no/adapter","yes/adapter","unknown","unknown","yes","unknown","yes","unknown","unknown","unknown","unknown","unknown","unknown","H","review / copyleft or provenance","Scripted solid modeling language/app","Excellent code-generation reference; GPL and limited electrical semantics.","Scope, license, or maturity mismatch for core","C","Checked 2026-09-15 via GitHub page/commits.atom; Excellent code-generation reference; GPL and limited electrical semantics."
"donalffons/opencascade.js","3d-cad","WebAssembly OpenCascade bindings","927","2023-03-27","C++/TypeScript","LGPL-2.1","mature/reference","source/docs inspected","not run in this docs pass","domain model present; verify scope","yes","yes/adapter","unknown","unknown","unknown","unknown","yes","unknown","unknown","unknown","unknown","unknown","unknown","M-H","review / copyleft or provenance","WebAssembly OpenCascade bindings","Browser BREP proof point; stale upstream activity and large WASM footprint.","Scope, license, or maturity mismatch for core","B","Checked 2026-09-15 via GitHub page/commits.atom; Browser BREP proof point; stale upstream activity and large WASM footprint."
"Open-Cascade-SAS/OCCT","3d-cad","Open Cascade geometry kernel","2.9k","2026-08-24","C++","LGPL-2.1","mature/reference","metadata/docs inspected","not run in this docs pass","domain model present; verify scope","no/adapter","yes/adapter","unknown","unknown","unknown","unknown","yes","unknown","unknown","unknown","unknown","unknown","unknown","M-H","review / copyleft or provenance","Open Cascade geometry kernel","Kernel reference; browser adaptation is non-trivial.","Scope, license, or maturity mismatch for core","B","Checked 2026-09-15 via GitHub page/commits.atom; Kernel reference; browser adaptation is non-trivial."
"google/or-tools","optimization","CP-SAT/MIP/routing optimization toolkit","14.0k","2026-06-09","C++/Python","Apache-2.0","production-adjacent","source/docs inspected","not run in this docs pass","generic geometry/graph model","no/adapter","yes/adapter","unknown","unknown","unknown","unknown","unknown","unknown","unknown","yes","yes","unknown","unknown","M","low","CP-SAT/MIP/routing optimization toolkit","Use for placement/routing constraints; parent prototype target.","Still requires domain adapter and deterministic validation","A","Checked 2026-09-15 via GitHub page/commits.atom; Use for placement/routing constraints; parent prototype target."
"kieler/elkjs","layout","Layered graph layout in JavaScript","2.8k","2026-09-09","TypeScript","EPL-2.0","production-adjacent","source/docs inspected","not run in this docs pass","generic geometry/graph model","yes","yes","unknown","unknown","yes","unknown","unknown","unknown","unknown","unknown","yes","unknown","unknown","M","review / copyleft or provenance","Layered graph layout in JavaScript","Excellent schematic auto-layout; parent npm install PASS, generated-lib test blocker.","Still requires domain adapter and deterministic validation","A","Checked 2026-09-15 via GitHub page/commits.atom; Excellent schematic auto-layout; parent npm install PASS, generated-lib test blocker."
"xyflow/xyflow","layout","Interactive node-edge graph editor","38.4k","2026-09-01","TypeScript","MIT","production-adjacent","source/docs inspected","not run in this docs pass","generic geometry/graph model","yes","yes","unknown","unknown","yes","unknown","unknown","unknown","unknown","unknown","yes","unknown","unknown","M","low","Interactive node-edge graph editor","UI interaction and selection patterns; not an electrical semantic model.","Still requires domain adapter and deterministic validation","A","Checked 2026-09-15 via GitHub page/commits.atom; UI interaction and selection patterns; not an electrical semantic model."
"SadilKhan/Text2CAD","ai-cad","Text-to-parametric CAD research","473","2025-05-15","Python","Research license/verify","research/niche","source/docs inspected","not run in this docs pass","generic geometry/graph model","no/adapter","yes/adapter","unknown","unknown","unknown","unknown","yes","unknown","unknown","unknown","unknown","unknown","yes","H","review / copyleft or provenance","Text-to-parametric CAD research","Research architecture only; model/data/compute heavy.","Scope, license, or maturity mismatch for core","C","Checked 2026-09-15 via GitHub page/commits.atom; Research architecture only; model/data/compute heavy."
"microsoft/CADFusion","ai-cad","Text/image/shape CAD generation research","91","2025-07-08","Python","MIT","research/niche","source/docs inspected","not run in this docs pass","generic geometry/graph model","no/adapter","yes/adapter","unknown","unknown","unknown","unknown","yes","unknown","unknown","unknown","unknown","unknown","yes","H","low","Text/image/shape CAD generation research","Useful multimodal pattern; not production geometry kernel.","Scope, license, or maturity mismatch for core","C","Checked 2026-09-15 via GitHub page/commits.atom; Useful multimodal pattern; not production geometry kernel."
"rundiwu/DeepCAD","ai-cad","Autoregressive CAD sequence generation","823","2024-04-12","Python","MIT","research/niche","source/docs inspected","not run in this docs pass","generic geometry/graph model","no/adapter","yes/adapter","unknown","unknown","unknown","unknown","yes","unknown","unknown","unknown","unknown","unknown","yes","H","low","Autoregressive CAD sequence generation","Research benchmark; no electrical constraints.","Scope, license, or maturity mismatch for core","C","Checked 2026-09-15 via GitHub page/commits.atom; Research benchmark; no electrical constraints."
"filaPro/cad-recode","ai-cad","CAD program reconstruction research","261","2025-11-16","Python","Research license/verify","research/niche","metadata/docs inspected","not run in this docs pass","generic geometry/graph model","no/adapter","yes/adapter","unknown","unknown","unknown","unknown","yes","unknown","unknown","unknown","unknown","unknown","yes","H","review / copyleft or provenance","CAD program reconstruction research","Interesting representation learning; integration effort high.","Scope, license, or maturity mismatch for core","C","Checked 2026-09-15 via GitHub page/commits.atom; Interesting representation learning; integration effort high."
"dbhavery/textcad","ai-cad","Natural language to CAD experiment","0","2026-07-25","Python","MIT","research/niche","metadata/docs inspected","not run in this docs pass","generic geometry/graph model","no/adapter","yes/adapter","unknown","unknown","unknown","unknown","yes","unknown","unknown","unknown","unknown","unknown","yes","H","low","Natural language to CAD experiment","Tiny/experimental; do not depend on it.","Scope, license, or maturity mismatch for core","D","Checked 2026-09-15 via GitHub page/commits.atom; Tiny/experimental; do not depend on it."
"ai-cad-labs/ai-cad","ai-cad","AI CAD workflow experiments","4","2026-08-09","Python","Apache-2.0","research/niche","metadata/docs inspected","not run in this docs pass","generic geometry/graph model","no/adapter","yes/adapter","unknown","unknown","unknown","unknown","yes","unknown","unknown","unknown","unknown","unknown","yes","H","low","AI CAD workflow experiments","Early research; inspect patterns, not core dependency.","Scope, license, or maturity mismatch for core","C","Checked 2026-09-15 via GitHub page/commits.atom; Early research; inspect patterns, not core dependency."
"graphviz/graphviz","graph-layout","Graph layout/rendering engine","12k","2026-09-15","C","EPL-1.0","mature/reference","metadata/docs inspected","not run in this docs pass","generic geometry/graph model","no/adapter","yes","unknown","unknown","yes","yes","unknown","unknown","unknown","unknown","yes","unknown","unknown","M-H","review / copyleft or provenance","Graph layout/rendering engine","Useful topology visualization; orthogonal cabinet routing still custom.","Scope, license, or maturity mismatch for core","B","Checked 2026-09-15 via GitHub page/commits.atom; Useful topology visualization; orthogonal cabinet routing still custom."
"dagrejs/dagre","graph-layout","Directed graph layout JavaScript","5.8k","2026-08-08","JavaScript","MIT","mature/reference","metadata/docs inspected","not run in this docs pass","generic geometry/graph model","yes","yes/adapter","unknown","unknown","yes","unknown","unknown","unknown","unknown","unknown","yes","unknown","unknown","M-H","low","Directed graph layout JavaScript","Simple browser graph layout; limited constraint semantics.","Scope, license, or maturity mismatch for core","B","Checked 2026-09-15 via GitHub page/commits.atom; Simple browser graph layout; limited constraint semantics."
"fabricjs/fabric.js","canvas","Interactive object canvas","31.4k","2026-09-13","TypeScript","MIT","mature/reference","metadata/docs inspected","not run in this docs pass","generic geometry/graph model","yes","yes","unknown","unknown","yes","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","M-H","low","Interactive object canvas","Selection/transforms; geometry source-of-truth must remain EIR.","Scope, license, or maturity mismatch for core","B","Checked 2026-09-15 via GitHub page/commits.atom; Selection/transforms; geometry source-of-truth must remain EIR."
"konvajs/konva","canvas","High-performance 2D canvas scene graph","14.8k","2026-09-13","TypeScript","MIT","mature/reference","metadata/docs inspected","not run in this docs pass","generic geometry/graph model","yes","yes","unknown","unknown","yes","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","M-H","low","High-performance 2D canvas scene graph","Good interaction layer; no DXF/domain semantics.","Scope, license, or maturity mismatch for core","B","Checked 2026-09-15 via GitHub page/commits.atom; Good interaction layer; no DXF/domain semantics."
"paperjs/paper.js","canvas","Vector graphics scripting framework","15.1k","2024-07-17","TypeScript","MIT","research/niche","metadata/docs inspected","not run in this docs pass","generic geometry/graph model","yes","yes","unknown","unknown","yes","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","H","low","Vector graphics scripting framework","Useful path operations; less suitable for CAD hit-testing at scale.","Scope, license, or maturity mismatch for core","C","Checked 2026-09-15 via GitHub page/commits.atom; Useful path operations; less suitable for CAD hit-testing at scale."
"mrdoob/three.js","3d-web","WebGL/3D rendering engine","115.6k","2026-09-15","JavaScript","MIT","mature/reference","metadata/docs inspected","not run in this docs pass","generic geometry/graph model","yes","yes/adapter","unknown","unknown","unknown","unknown","yes","unknown","unknown","unknown","unknown","unknown","unknown","M-H","low","WebGL/3D rendering engine","Optional 3D viewport; not CAD kernel.","Scope, license, or maturity mismatch for core","B","Checked 2026-09-15 via GitHub page/commits.atom; Optional 3D viewport; not CAD kernel."
"xeokit/xeokit-sdk","3d-web","Web IFC/3D model viewer","932","2026-09-08","TypeScript","AGPL-3.0","research/niche","metadata/docs inspected","not run in this docs pass","generic geometry/graph model","yes","yes","unknown","unknown","unknown","unknown","yes","unknown","unknown","unknown","unknown","unknown","unknown","H","review / copyleft or provenance","Web IFC/3D model viewer","AGPL risk for proprietary SaaS; viewer only.","Scope, license, or maturity mismatch for core","C","Checked 2026-09-15 via GitHub page/commits.atom; AGPL risk for proprietary SaaS; viewer only."
"devbisme/skidl","electrical-schematic","Python schematic/netlist generation","1.7k","2026-08-10","Python","GPL-3.0","mature/reference","source/docs inspected","not run in this docs pass","domain model present; verify scope","no/adapter","yes/adapter","unknown","unknown","unknown","unknown","unknown","yes","yes","unknown","unknown","yes","unknown","M-H","review / copyleft or provenance","Python schematic/netlist generation","Strong programmatic topology; GPL core and no panel geometry.","Scope, license, or maturity mismatch for core","B","Checked 2026-09-15 via GitHub page/commits.atom; Strong programmatic topology; GPL core and no panel geometry."
"CircuitVerse/CircuitVerse","electrical-schematic","Browser digital circuit simulator","1.3k","2026-09-10","Ruby/TypeScript","MIT","research/niche","metadata/docs inspected","not run in this docs pass","domain model present; verify scope","yes","yes","unknown","unknown","unknown","unknown","unknown","yes","yes","unknown","unknown","unknown","unknown","H","low","Browser digital circuit simulator","Connectivity UX reference; not industrial CAD.","Scope, license, or maturity mismatch for core","C","Checked 2026-09-15 via GitHub page/commits.atom; Connectivity UX reference; not industrial CAD."
"logisim-evolution/logisim-evolution","electrical-schematic","Digital logic schematic simulator","7.6k","2026-09-15","Java","GPL-3.0","research/niche","metadata/docs inspected","not run in this docs pass","domain model present; verify scope","no/adapter","yes/adapter","unknown","unknown","unknown","unknown","unknown","yes","yes","unknown","unknown","unknown","unknown","H","review / copyleft or provenance","Digital logic schematic simulator","Good interaction ideas; wrong device/physical domain.","Scope, license, or maturity mismatch for core","C","Checked 2026-09-15 via GitHub page/commits.atom; Good interaction ideas; wrong device/physical domain."
"nturley/netlistsvg","electrical-schematic","Netlist to SVG schematic renderer","828","2024-01-25","JavaScript","MIT","mature/reference","metadata/docs inspected","not run in this docs pass","domain model present; verify scope","no/adapter","yes/adapter","unknown","unknown","yes","unknown","unknown","yes","yes","unknown","unknown","unknown","unknown","M-H","low","Netlist to SVG schematic renderer","Deterministic renderer reference; no editing/layout constraints.","Scope, license, or maturity mismatch for core","B","Checked 2026-09-15 via GitHub page/commits.atom; Deterministic renderer reference; no editing/layout constraints."
"cdelker/schemdraw","electrical-schematic","Python programmatic circuit diagrams","265","2026-07-18","Python","MIT","mature/reference","metadata/docs inspected","not run in this docs pass","domain model present; verify scope","no/adapter","yes/adapter","unknown","unknown","yes","yes","unknown","yes","unknown","unknown","unknown","unknown","unknown","M-H","low","Python programmatic circuit diagrams","Good deterministic output; not interactive CAD.","Scope, license, or maturity mismatch for core","B","Checked 2026-09-15 via GitHub page/commits.atom; Good deterministic output; not interactive CAD."
"mph-/lcapy","electrical-analysis","Symbolic circuit analysis and diagrams","300","2026-08-16","Python","MIT","research/niche","metadata/docs inspected","not run in this docs pass","domain model present; verify scope","no/adapter","yes/adapter","unknown","unknown","yes","unknown","unknown","yes","yes","unknown","unknown","unknown","unknown","H","low","Symbolic circuit analysis and diagrams","Analysis reference; outside MVP scope.","Scope, license, or maturity mismatch for core","C","Checked 2026-09-15 via GitHub page/commits.atom; Analysis reference; outside MVP scope."
"networkx/networkx","graph","Python graph algorithms","17.3k","2026-09-12","Python","BSD-3-Clause","production-adjacent","metadata/docs inspected","not run in this docs pass","generic geometry/graph model","no/adapter","yes/adapter","unknown","unknown","unknown","unknown","unknown","unknown","yes","unknown","yes","unknown","unknown","M","low","Python graph algorithms","Use for net/duct graph prototypes; geometry and constraints custom.","Still requires domain adapter and deterministic validation","A","Checked 2026-09-15 via GitHub page/commits.atom; Use for net/duct graph prototypes; geometry and constraints custom."
"secnot/rectpack","packing","2D rectangle packing algorithms","563","2021-11-24","Python","MIT","mature/reference","metadata/docs inspected","not run in this docs pass","generic geometry/graph model","no/adapter","yes/adapter","unknown","unknown","unknown","unknown","unknown","unknown","unknown","yes","unknown","unknown","unknown","M-H","low","2D rectangle packing algorithms","Baseline packing heuristic; stale activity and no electrical rules.","Scope, license, or maturity mismatch for core","B","Checked 2026-09-15 via GitHub page/commits.atom; Baseline packing heuristic; stale activity and no electrical rules."
"shapely/shapely","geometry","Robust planar geometry predicates","4.5k","2026-09-15","Python","BSD-3-Clause","production-adjacent","metadata/docs inspected","not run in this docs pass","generic geometry/graph model","no/adapter","yes/adapter","yes","unknown","unknown","unknown","unknown","unknown","unknown","yes","unknown","unknown","unknown","M","low","Robust planar geometry predicates","Use for collision/clearance validation; no renderer.","Still requires domain adapter and deterministic validation","A","Checked 2026-09-15 via GitHub page/commits.atom; Use for collision/clearance validation; no renderer."
"Toblerity/rtree","geometry","Spatial index over libspatialindex","683","2026-09-15","Python","MIT","mature/reference","metadata/docs inspected","not run in this docs pass","generic geometry/graph model","no/adapter","yes/adapter","unknown","unknown","unknown","unknown","unknown","unknown","unknown","yes","unknown","unknown","unknown","M-H","low","Spatial index over libspatialindex","Useful hit-testing/index; native dependency.","Scope, license, or maturity mismatch for core","B","Checked 2026-09-15 via GitHub page/commits.atom; Useful hit-testing/index; native dependency."
"d3/d3","visualization","Data-driven SVG/visualization primitives","113.7k","2026-05-28","JavaScript","ISC","research/niche","metadata/docs inspected","not run in this docs pass","generic geometry/graph model","yes","yes/adapter","unknown","unknown","yes","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","H","low","Data-driven SVG/visualization primitives","Charts/overlays; not a CAD interaction model.","Scope, license, or maturity mismatch for core","C","Checked 2026-09-15 via GitHub page/commits.atom; Charts/overlays; not a CAD interaction model."
"excalidraw/excalidraw","canvas","Collaborative whiteboard editor","132.0k","2026-09-15","TypeScript","MIT","research/niche","metadata/docs inspected","not run in this docs pass","generic geometry/graph model","yes","yes","unknown","unknown","yes","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","H","low","Collaborative whiteboard editor","Undo/selection UX ideas; lacks precision/units.","Scope, license, or maturity mismatch for core","C","Checked 2026-09-15 via GitHub page/commits.atom; Undo/selection UX ideas; lacks precision/units."
